frame,aX,aY,aZ,gX,gY,gZ,label
533,0.9141,-0.23479,-0.34558,25.39579,4.56904,-14.38119,Standing
533,0.91777,-0.22478,-0.34655,28.56962,7.74286,-10.4139,Standing
533,0.93827,-0.24211,-0.35314,30.52275,9.26874,-8.03353,Standing
534,0.95756,-0.24431,-0.38781,32.72001,8.65839,-7.72836,Standing
534,0.93998,-0.23235,-0.41638,31.19413,11.77118,-6.44662,Standing
534,0.89335,-0.26433,-0.45227,25.09062,10.79462,-4.06625,Standing
534,0.89262,-0.30828,-0.48254,24.05302,8.10907,-3.94418,Standing
535,1.00859,-0.31072,-0.33923,33.94071,21.10956,-6.87386,Standing
535,0.90825,-0.27044,-0.25939,47.12431,41.73944,-5.40902,Standing
535,0.76445,-0.20061,-0.25817,54.02128,41.55634,-4.00521,Standing
535,0.73832,-0.1552,-0.28064,45.35429,11.34394,-4.18832,Standing
535,0.80717,-0.1928,-0.28503,33.69657,-3.12139,-11.32943,Standing
536,0.86381,-0.20916,-0.33752,27.65409,-6.23419,-11.81771,Standing
536,0.90092,-0.21331,-0.41882,28.38651,-4.09796,-6.50765,Standing
536,0.87748,-0.20745,-0.38269,37.908,5.30146,-4.12728,Standing
536,0.84306,-0.1657,-0.35339,35.40556,7.74286,-3.88314,Standing
536,0.82377,-0.14959,-0.31091,25.45683,5.91181,-6.08041,Standing
537,0.87065,-0.16423,-0.27429,16.97294,5.17939,-7.24008,Standing
537,0.89189,-0.14202,-0.28064,16.66776,6.40009,-3.88314,Standing
537,0.84623,-0.14885,-0.27282,9.46562,5.24042,-1.44174,Standing
537,0.84428,-0.1679,-0.28283,6.47489,5.60663,-0.03793,Standing
537,0.83818,-0.18377,-0.24572,7.51249,5.7287,4.78385,Standing
538,0.83329,-0.20208,-0.255,7.6956,4.20282,5.69938,Standing
538,0.84135,-0.23088,-0.24548,7.02421,0.72382,6.49283,Standing
538,0.84965,-0.26604,-0.28601,4.5828,-6.35626,3.56315,Standing
538,0.88505,-0.27996,-0.30993,4.46073,-8.61456,0.69449,Standing
538,0.929,-0.27678,-0.32629,5.74247,-10.81182,-1.99105,Standing
539,1.02226,-0.24138,-0.38098,11.1746,-7.88214,-4.00521,Standing
539,1.07695,-0.20159,-0.41101,13.00566,-3.24346,-4.00521,Standing
539,1.13139,-0.1469,-0.46789,10.9915,8.65839,-5.04281,Standing
539,1.14042,-0.11345,-0.42761,8.61112,17.56952,-4.37142,Standing
539,1.0916,-0.05559,-0.29724,8.48905,37.46698,-1.62484,Standing
540,1.01249,-0.02556,-0.23742,7.6956,45.34052,-1.56381,Standing
540,0.84599,0.03352,-0.15759,-4.4504,50.40644,2.15934,Standing
540,0.76298,0.02131,-0.17639,-12.20186,44.6081,6.67594,Standing
540,0.70219,-0.0031,-0.21569,-21.90645,35.14765,10.33805,Standing
540,0.6873,-0.03313,-0.24011,-28.19308,26.60273,12.77946,Standing
541,0.72319,-0.10808,-0.26379,-30.08517,9.51288,12.35221,Standing
541,0.75346,-0.1281,-0.27453,-29.71895,2.79902,12.47428,Standing
541,0.80204,-0.14421,-0.26867,-30.87862,-0.86309,13.87809,Standing
541,0.85649,-0.1823,-0.27941,-33.4421,-4.89141,14.4274,Standing
541,0.92411,-0.26531,-0.29748,-39.78976,-8.12628,16.31949,Standing
542,0.9351,-0.31829,-0.31774,-39.30148,-8.98077,16.74674,Standing
542,0.94487,-0.33635,-0.34069,-36.37179,-8.79766,16.07535,Standing
542,0.9561,-0.36956,-0.36706,-33.32003,-8.43145,15.40397,Standing
542,0.94804,-0.38665,-0.39245,-22.27267,-9.10284,12.47428,Standing
542,0.89189,-0.36345,-0.32849,-9.69942,-7.14971,7.95768,Standing
543,0.85014,-0.33391,-0.31286,-3.10763,-7.76007,5.51627,Standing
543,0.83451,-0.28606,-0.30822,0.92069,-8.55352,3.62418,Standing
543,0.77934,-0.24675,-0.28772,3.179,-12.39874,2.22037,Standing
543,0.80619,-0.21502,-0.30432,4.3997,-13.68048,1.12174,Standing
543,0.83622,-0.19158,-0.23181,7.45146,-13.86358,-1.80795,Standing
544,0.81474,-0.19622,-0.26013,-5.73214,-14.35186,11.13151,Standing
544,0.87797,-0.28582,-0.29016,-8.41768,-19.66192,13.14567,Standing
544,0.91508,-0.32976,-0.29431,-1.09347,-20.76056,9.84977,Standing
544,0.92411,-0.32488,-0.30969,0.67655,-20.08917,8.01871,Standing
544,0.93559,-0.31243,-0.31677,6.10868,-15.20636,2.89176,Standing
545,0.95488,-0.24919,-0.32067,9.40458,-9.16388,0.63346,Standing
545,0.95732,-0.22063,-0.32312,5.6204,-3.97589,1.67106,Standing
545,0.94658,-0.20012,-0.35485,4.3997,-0.74102,3.56315,Standing
545,0.92387,-0.18938,-0.38732,-0.54415,1.2121,6.67594,Standing
545,0.89189,-0.20427,-0.3861,-6.89181,0.23554,10.46012,Standing
546,0.87333,-0.22844,-0.3573,-9.88253,-0.86309,13.75602,Standing
546,0.82158,-0.2885,-0.31506,-14.46017,-2.99932,15.22086,Standing
546,0.77665,-0.32683,-0.31286,-19.15987,-9.59112,16.62467,Standing
546,0.80815,-0.3781,-0.31408,-19.34298,-14.96222,15.40397,Standing
546,0.83671,-0.38469,-0.34338,-14.64327,-18.44122,12.35221,Standing
547,0.835,-0.38372,-0.35485,-8.17354,-19.11261,8.93424,Standing
547,0.86796,-0.30779,-0.38464,-0.23897,-17.8919,5.82145,Standing
547,0.78935,-0.25603,-0.37268,2.44657,-17.03741,5.94352,Standing
547,0.75566,-0.22722,-0.36633,5.6204,-21.43194,6.79801,Standing
547,0.78935,-0.17693,-0.36145,7.45146,-25.64337,8.62906,Standing
548,0.8228,-0.17522,-0.36804,7.02421,-28.69513,7.10319,Standing
548,0.85746,-0.16423,-0.36389,4.76591,-27.10821,3.44108,Standing
548,0.8914,-0.14495,-0.34436,0.67655,-24.97198,4.53971,Standing
548,0.89897,-0.1574,-0.36413,-6.64767,-19.53985,4.29557,Standing
549,0.91069,-0.15252,-0.38562,-13.54464,-15.14532,5.27213,Standing
549,0.95292,-0.20891,-0.37292,-24.10372,-10.9339,7.28629,Standing
549,0.99492,-0.23748,-0.35754,-27.21651,-3.91485,8.38492,Standing
549,0.99614,-0.19988,-0.3612,-22.27267,4.69111,5.88248,Standing
550,1.002,-0.1491,-0.38806,-22.27267,11.52704,2.70865,Standing
550,0.94633,-0.19768,-0.43298,-32.34347,16.47089,2.83073,Standing
550,0.89628,-0.27532,-0.42712,-28.68136,13.78534,2.89176,Standing
550,0.86821,-0.30535,-0.41784,-19.34298,9.51288,4.1735,Standing
551,0.8582,-0.29412,-0.40905,-13.42257,9.0246,4.47867,Standing
551,0.81791,-0.30144,-0.33923,-12.07979,8.23114,3.44108,Standing
551,0.77421,-0.28557,-0.31555,-10.67599,8.10907,1.30485,Standing
551,0.71977,-0.25872,-0.33508,-12.2629,3.59247,-0.03793,Standing
552,0.72783,-0.23186,-0.37146,-12.75118,-4.28106,0.45035,Standing
552,0.79545,-0.20989,-0.4154,-9.45528,-11.97149,3.99039,Standing
552,0.81279,-0.21965,-0.39318,-9.57735,-15.38946,3.50211,Standing
552,0.84452,-0.22771,-0.38,-9.57735,-18.56329,0.8776,Standing
553,0.85209,-0.24651,-0.38195,-10.0046,-18.19708,0.26725,Standing
553,0.8123,-0.26213,-0.37878,-9.15011,-15.08429,-2.72347,Standing
553,0.76323,-0.27898,-0.35119,-7.07491,-15.20636,-2.35726,Standing
553,0.78276,-0.24187,-0.34655,-9.63839,-15.20636,-1.13656,Standing
554,0.83744,-0.24041,-0.35095,-16.7795,-14.10772,-0.58724,Standing
554,0.89116,-0.26409,-0.36145,-18.54952,-10.14044,-1.1976,Standing
554,0.8914,-0.27605,-0.36364,-15.31466,-2.32794,-3.88314,Standing
554,0.89018,-0.29045,-0.34826,-9.69942,-2.93829,-0.89242,Standing
555,0.88847,-0.27971,-0.37268,-8.60079,-5.07452,-0.52621,Standing
555,0.89677,-0.34124,-0.38342,-7.7463,-9.10284,0.26725,Standing
555,0.9456,-0.34002,-0.3883,-4.99972,-8.55352,-0.40414,Standing
555,0.96367,-0.35564,-0.43005,2.69071,-5.5628,-3.08968,Standing
556,0.95903,-0.34807,-0.44543,5.25419,-4.64727,-4.43246,Standing
556,0.89018,-0.33367,-0.43273,11.29667,-3.48761,-4.37142,Standing
556,0.84452,-0.35588,-0.42126,13.4329,-3.24346,-4.00521,Standing
556,0.82719,-0.34368,-0.39611,14.22636,-5.80694,-1.44174,Standing
557,0.80912,-0.33123,-0.39245,15.93534,-6.41729,1.06071,Standing
557,0.79936,-0.26824,-0.39807,19.29228,-7.51593,5.88248,Standing
557,0.78764,-0.24456,-0.41711,18.55985,-8.30938,6.73698,Standing
557,0.77519,-0.24382,-0.3988,14.4705,-7.94317,8.01871,Standing
558,0.76591,-0.2531,-0.41467,9.22148,-7.33282,9.11735,Standing
558,0.76054,-0.25481,-0.4342,2.3245,-9.22491,8.14078,Standing
558,0.7498,-0.26262,-0.4403,1.89726,-10.38458,8.01871,Standing
558,0.76152,-0.25188,-0.47961,1.04276,-14.53497,5.88248,Standing
559,0.77079,-0.26189,-0.45886,0.85966,-15.93878,5.94352,Standing
559,0.80766,-0.25676,-0.47229,-1.27657,-15.75567,5.45524,Standing
559,0.81694,-0.26946,-0.44689,-2.00899,-15.87774,5.2111,Standing
559,0.83671,-0.24724,-0.45251,0.85966,-11.60528,5.51627,Standing
560,0.84037,-0.24578,-0.46179,3.72831,-10.0794,4.84489,Standing
560,0.83744,-0.22161,-0.45031,5.92558,-7.51593,3.50211,Standing
560,0.83574,-0.20989,-0.45593,5.80351,-8.79766,3.01383,Standing
560,0.82743,-0.20354,-0.40856,5.19316,-8.8587,-1.01449,Standing
561,0.82426,-0.19158,-0.39416,5.19316,-10.26251,-2.05209,Standing
561,0.81596,-0.17083,-0.39123,5.4373,-10.68975,-3.76107,Standing
561,0.81083,-0.16155,-0.39465,5.68144,-11.05597,-5.47006,Standing
561,0.78447,-0.15667,-0.37146,3.78935,-9.83526,-5.83627,Standing
562,0.79838,-0.15764,-0.36462,2.08036,-11.48321,-5.22592,Standing
562,0.76567,-0.14226,-0.37439,1.16483,-11.30011,-4.43246,Standing
562,0.79618,-0.11589,-0.38269,-8.41768,-12.64288,-4.18832,Standing
562,0.96147,-0.19695,-0.42981,-20.74679,-13.92462,-7.91146,Standing
563,0.97734,-0.22673,-0.43054,-14.76534,-0.74102,-6.32455,Standing
563,0.94658,-0.23259,-0.42053,-7.7463,5.11835,-7.9725,Standing
563,0.93779,-0.21086,-0.44177,-4.75558,5.48456,-8.58285,Standing
563,0.94389,-0.17351,-0.48523,-4.69454,10.85566,-9.80355,Standing
564,0.93315,-0.17449,-0.47277,-10.12667,13.78534,-6.14144,Standing
564,0.91655,-0.19011,-0.45227,-13.54464,13.17499,-4.61556,Standing
564,0.86235,-0.24187,-0.45886,-16.23018,11.22187,-0.95345,Standing
564,0.79399,-0.27288,-0.43811,-11.40841,9.45185,0.99967,Standing
565,0.70781,-0.27727,-0.42321,-5.91524,5.42353,1.42692,Standing
565,0.6956,-0.27483,-0.39294,0.61552,-3.24346,1.73209,Standing
565,0.71757,-0.21575,-0.44714,4.46073,-11.48321,-1.56381,Standing
565,0.74809,-0.21672,-0.46154,1.65312,-16.30499,-5.16488,Standing
565,0.78447,-0.22478,-0.47863,2.08036,-16.36602,-9.25424,Standing
566,0.80302,-0.25969,-0.48645,0.37138,-15.93878,-8.21664,Standing
566,0.86186,-0.26897,-0.45642,-2.61934,-16.6712,-2.11312,Standing
566,0.91581,-0.22795,-0.45959,-5.6711,-13.13116,2.9528,Standing
566,0.87919,-0.26555,-0.44226,-10.43184,-5.62384,5.63834,Standing
566,0.7415,-0.34368,-0.40612,-10.67599,-3.06036,4.11246,Standing
567,0.68632,-0.34417,-0.41345,1.65312,-12.03253,0.38932,Standing
567,0.69975,-0.27263,-0.3944,10.50321,-20.08917,-1.50277,Standing
567,0.74907,-0.23088,-0.39709,10.86942,-21.30987,-1.25863,Standing
567,0.83183,-0.25652,-0.42883,2.08036,-19.47882,3.19694,Standing
567,0.87895,-0.27483,-0.46398,1.22587,-15.32843,3.31901,Standing
568,0.86821,-0.33147,-0.43884,3.78935,-10.14044,1.79313,Standing
568,0.85893,-0.34783,-0.43151,8.24491,-9.22491,-0.22103,Standing
568,0.84745,-0.2863,-0.46374,12.27323,-9.46905,0.81657,Standing
568,0.89286,-0.25896,-0.48571,11.96806,-9.40802,3.1359,Standing
568,0.95195,-0.24236,-0.52014,11.05253,-4.76934,5.2111,Standing
569,0.93974,-0.24187,-0.52795,12.82255,3.59247,4.53971,Standing
569,0.87138,-0.23796,-0.52722,15.6912,4.87421,-0.64828,Standing
569,0.73076,-0.17644,-0.46252,20.26884,-1.71759,-5.28695,Standing
569,0.68388,-0.10686,-0.46374,16.17948,-6.53936,-3.27279,Standing
569,0.67045,-0.07219,-0.47155,2.93485,-8.91973,1.79313,Standing
570,0.70488,-0.10491,-0.47912,-13.36153,-14.65704,5.57731,Standing
570,0.78788,-0.21892,-0.47399,-20.62472,-12.52081,4.53971,Standing
570,0.86479,-0.26775,-0.49939,-13.54464,-10.26251,-0.77035,Standing
570,0.87114,-0.26091,-0.51721,-1.76485,-2.57208,-5.16488,Standing
571,0.81572,-0.22576,-0.46569,8.73319,1.09003,-7.72836,Standing
571,0.70366,-0.2221,-0.42077,9.89286,-5.99005,-6.01937,Standing
571,0.75273,-0.21453,-0.45666,9.09941,-18.13604,-5.83627,Standing
571,0.82597,-0.16301,-0.4884,8.97733,-23.75128,-7.78939,Standing
